uuid,model,isl,layer,K,N,cs,rung,cntb,need,degenerate,skip_full,tiny32,tiny128,error
pro_64k_L24,pro,64k,24,1024,16387,1,cs1-mid,19,1,False,False,True,True,
pro_64k_L26,pro,64k,26,1024,16387,1,cs1-mid,24,5,False,False,True,True,
pro_64k_L28,pro,64k,28,1024,16387,1,cs1-mid,10,3,False,False,True,True,
pro_64k_L30,pro,64k,30,1024,16387,1,cs1-mid,17,15,False,False,True,True,
pro_64k_L32,pro,64k,32,1024,16387,1,cs1-mid,12,4,False,False,True,True,
pro_64k_L34,pro,64k,34,1024,16387,1,cs1-mid,20,7,False,False,True,True,
pro_64k_L36,pro,64k,36,1024,16387,1,cs1-mid,12,9,False,False,True,True,
pro_64k_L38,pro,64k,38,1024,16387,1,cs1-mid,20,12,False,False,True,True,
pro_64k_L40,pro,64k,40,1024,16387,1,cs1-mid,15,4,False,False,True,True,
pro_64k_L42,pro,64k,42,1024,16387,1,cs1-mid,11,5,False,False,True,True,
pro_64k_L44,pro,64k,44,1024,16387,1,cs1-mid,15,5,False,False,True,True,
pro_64k_L46,pro,64k,46,1024,16387,1,cs1-mid,16,15,False,False,True,True,
pro_64k_L48,pro,64k,48,1024,16387,1,cs1-mid,29,13,False,False,True,True,
pro_64k_L50,pro,64k,50,1024,16387,1,cs1-mid,10,3,False,False,True,True,
pro_64k_L52,pro,64k,52,1024,16387,1,cs1-mid,21,13,False,False,True,True,
pro_64k_L54,pro,64k,54,1024,16387,1,cs1-mid,14,4,False,False,True,True,
pro_64k_L56,pro,64k,56,1024,16387,1,cs1-mid,23,11,False,False,True,True,
pro_64k_L58,pro,64k,58,1024,16387,1,cs1-mid,13,10,False,False,True,True,
pro_64k_L60,pro,64k,60,1024,16387,1,cs1-mid,32,27,False,False,True,True,
pro_128k_L02,pro,128k,2,1024,32771,1,cs1-mid,15,3,False,False,True,True,
pro_128k_L04,pro,128k,4,1024,32771,1,cs1-mid,22,7,False,False,True,True,
pro_128k_L06,pro,128k,6,1024,32771,1,cs1-mid,15,5,False,False,True,True,
pro_128k_L08,pro,128k,8,1024,32771,1,cs1-mid,27,26,False,False,True,True,
pro_128k_L10,pro,128k,10,1024,32771,1,cs1-mid,7,4,False,False,True,True,
pro_128k_L12,pro,128k,12,1024,32771,1,cs1-mid,30,24,False,False,True,True,
pro_128k_L14,pro,128k,14,1024,32771,1,cs1-mid,32,2,False,False,True,True,
pro_128k_L16,pro,128k,16,1024,32771,1,cs1-mid,24,7,False,False,True,True,
pro_128k_L18,pro,128k,18,1024,32771,1,cs1-mid,17,2,False,False,True,True,
pro_128k_L20,pro,128k,20,1024,32771,1,cs1-mid,12,7,False,False,True,True,
pro_128k_L22,pro,128k,22,1024,32771,1,cs1-mid,13,4,False,False,True,True,
pro_128k_L24,pro,128k,24,1024,32771,1,cs1-mid,13,10,False,False,True,True,
pro_128k_L26,pro,128k,26,1024,32771,1,cs1-mid,11,4,False,False,True,True,
pro_128k_L28,pro,128k,28,1024,32771,1,cs1-mid,10,7,False,False,True,True,
pro_128k_L30,pro,128k,30,1024,32771,1,cs1-mid,14,7,False,False,True,True,
pro_128k_L32,pro,128k,32,1024,32771,1,cs1-mid,14,11,False,False,True,True,
pro_128k_L34,pro,128k,34,1024,32771,1,cs1-mid,15,6,False,False,True,True,
pro_128k_L36,pro,128k,36,1024,32771,1,cs1-mid,14,8,False,False,True,True,
pro_128k_L38,pro,128k,38,1024,32771,1,cs1-mid,14,8,False,False,True,True,
pro_128k_L40,pro,128k,40,1024,32771,1,cs1-mid,10,2,False,False,True,True,
pro_128k_L42,pro,128k,42,1024,32771,1,cs1-mid,13,7,False,False,True,True,
pro_128k_L44,pro,128k,44,1024,32771,1,cs1-mid,11,10,False,False,True,True,
pro_128k_L46,pro,128k,46,1024,32771,1,cs1-mid,20,14,False,False,True,True,
pro_128k_L48,pro,128k,48,1024,32771,1,cs1-mid,24,17,False,False,True,True,
pro_128k_L50,pro,128k,50,1024,32771,1,cs1-mid,11,3,False,False,True,True,
pro_128k_L52,pro,128k,52,1024,32771,1,cs1-mid,28,24,False,False,True,True,
pro_128k_L54,pro,128k,54,1024,32771,1,cs1-mid,14,8,False,False,True,True,
pro_128k_L56,pro,128k,56,1024,32771,1,cs1-mid,30,26,False,False,True,True,
pro_128k_L58,pro,128k,58,1024,32771,1,cs1-mid,14,10,False,False,True,True,
pro_128k_L60,pro,128k,60,1024,32771,1,cs1-mid,37,5,False,False,False,True,
pro_256k_L02,pro,256k,2,1024,65539,4,cs4,10,10,False,True,True,True,
pro_256k_L04,pro,256k,4,1024,65539,4,cs4,29,15,False,False,True,True,
pro_256k_L06,pro,256k,6,1024,65539,4,cs4,8,1,False,False,True,True,
pro_256k_L08,pro,256k,8,1024,65539,4,cs4,19,12,False,False,True,True,
pro_256k_L10,pro,256k,10,1024,65539,4,cs4,8,7,False,False,True,True,
pro_256k_L12,pro,256k,12,1024,65539,4,cs4,31,8,False,False,True,True,
pro_256k_L14,pro,256k,14,1024,65539,4,cs4,40,39,False,False,False,True,
pro_256k_L16,pro,256k,16,1024,65539,4,cs4,23,1,False,False,True,True,
pro_256k_L18,pro,256k,18,1024,65539,4,cs4,23,2,False,False,True,True,
pro_256k_L20,pro,256k,20,1024,65539,4,cs4,23,3,False,False,True,True,
pro_256k_L22,pro,256k,22,1024,65539,4,cs4,10,4,False,False,True,True,
pro_256k_L24,pro,256k,24,1024,65539,4,cs4,10,3,False,False,True,True,
pro_256k_L26,pro,256k,26,1024,65539,4,cs4,20,9,False,False,True,True,
pro_256k_L28,pro,256k,28,1024,65539,4,cs4,17,6,False,False,True,True,
pro_256k_L30,pro,256k,30,1024,65539,4,cs4,27,22,False,False,True,True,
pro_256k_L32,pro,256k,32,1024,65539,4,cs4,9,7,False,False,True,True,
pro_256k_L34,pro,256k,34,1024,65539,4,cs4,15,5,False,False,True,True,
pro_256k_L36,pro,256k,36,1024,65539,4,cs4,8,2,False,False,True,True,
pro_256k_L38,pro,256k,38,1024,65539,4,cs4,18,15,False,False,True,True,
pro_256k_L40,pro,256k,40,1024,65539,4,cs4,14,13,False,False,True,True,
pro_256k_L42,pro,256k,42,1024,65539,4,cs4,15,15,False,True,True,True,
pro_256k_L44,pro,256k,44,1024,65539,4,cs4,40,10,False,False,False,True,
pro_256k_L46,pro,256k,46,1024,65539,4,cs4,25,16,False,False,True,True,
pro_256k_L48,pro,256k,48,1024,65539,4,cs4,32,26,False,False,True,True,
pro_256k_L50,pro,256k,50,1024,65539,4,cs4,30,13,False,False,True,True,
pro_256k_L52,pro,256k,52,1024,65539,4,cs4,34,14,False,False,False,True,
pro_256k_L54,pro,256k,54,1024,65539,4,cs4,17,5,False,False,True,True,
pro_256k_L56,pro,256k,56,1024,65539,4,cs4,21,4,False,False,True,True,
pro_256k_L58,pro,256k,58,1024,65539,4,cs4,19,5,False,False,True,True,
pro_256k_L60,pro,256k,60,1024,65539,4,cs4,43,23,False,False,False,True,
pro_512k_L02,pro,512k,2,1024,131075,8,cs8,10,7,False,False,True,True,
pro_512k_L04,pro,512k,4,1024,131075,8,cs8,19,17,False,False,True,True,
pro_512k_L06,pro,512k,6,1024,131075,8,cs8,11,5,False,False,True,True,
pro_512k_L08,pro,512k,8,1024,131075,8,cs8,18,9,False,False,True,True,
pro_512k_L10,pro,512k,10,1024,131075,8,cs8,12,4,False,False,True,True,
pro_512k_L12,pro,512k,12,1024,131075,8,cs8,20,19,False,False,True,True,
pro_512k_L14,pro,512k,14,1024,131075,8,cs8,29,17,False,False,True,True,
pro_512k_L16,pro,512k,16,1024,131075,8,cs8,10,8,False,False,True,True,
pro_512k_L18,pro,512k,18,1024,131075,8,cs8,23,1,False,False,True,True,
pro_512k_L20,pro,512k,20,1024,131075,8,cs8,18,13,False,False,True,True,
pro_512k_L22,pro,512k,22,1024,131075,8,cs8,10,3,False,False,True,True,
pro_512k_L24,pro,512k,24,1024,131075,8,cs8,5,3,False,False,True,True,
pro_512k_L26,pro,512k,26,1024,131075,8,cs8,15,6,False,False,True,True,
pro_512k_L28,pro,512k,28,1024,131075,8,cs8,9,7,False,False,True,True,
pro_512k_L30,pro,512k,30,1024,131075,8,cs8,11,2,False,False,True,True,
pro_512k_L32,pro,512k,32,1024,131075,8,cs8,5,4,False,False,True,True,
pro_512k_L34,pro,512k,34,1024,131075,8,cs8,14,13,False,False,True,True,
pro_512k_L36,pro,512k,36,1024,131075,8,cs8,14,1,False,False,True,True,
pro_512k_L38,pro,512k,38,1024,131075,8,cs8,16,8,False,False,True,True,
pro_512k_L40,pro,512k,40,1024,131075,8,cs8,8,8,False,True,True,True,
pro_512k_L42,pro,512k,42,1024,131075,8,cs8,11,6,False,False,True,True,
pro_512k_L44,pro,512k,44,1024,131075,8,cs8,17,12,False,False,True,True,
pro_512k_L46,pro,512k,46,1024,131075,8,cs8,9,3,False,False,True,True,
pro_512k_L48,pro,512k,48,1024,131075,8,cs8,23,22,False,False,True,True,
pro_512k_L50,pro,512k,50,1024,131075,8,cs8,15,3,False,False,True,True,
pro_512k_L52,pro,512k,52,1024,131075,8,cs8,17,2,False,False,True,True,
pro_512k_L54,pro,512k,54,1024,131075,8,cs8,11,11,False,True,True,True,
pro_512k_L56,pro,512k,56,1024,131075,8,cs8,19,12,False,False,True,True,
pro_512k_L58,pro,512k,58,1024,131075,8,cs8,15,8,False,False,True,True,
pro_512k_L60,pro,512k,60,1024,131075,8,cs8,34,8,False,False,False,True,
pro_1024k_L02,pro,1024k,2,1024,262127,8,cs8,11,3,False,False,True,True,
pro_1024k_L04,pro,1024k,4,1024,262127,8,cs8,19,4,False,False,True,True,
pro_1024k_L06,pro,1024k,6,1024,262127,8,cs8,8,2,False,False,True,True,
pro_1024k_L08,pro,1024k,8,1024,262127,8,cs8,30,2,False,False,True,True,
pro_1024k_L10,pro,1024k,10,1024,262127,8,cs8,12,7,False,False,True,True,
pro_1024k_L12,pro,1024k,12,1024,262127,8,cs8,13,13,False,True,True,True,
pro_1024k_L14,pro,1024k,14,1024,262127,8,cs8,30,12,False,False,True,True,
pro_1024k_L16,pro,1024k,16,1024,262127,8,cs8,15,8,False,False,True,True,
pro_1024k_L18,pro,1024k,18,1024,262127,8,cs8,19,2,False,False,True,True,
pro_1024k_L20,pro,1024k,20,1024,262127,8,cs8,24,15,False,False,True,True,
pro_1024k_L22,pro,1024k,22,1024,262127,8,cs8,12,4,False,False,True,True,
pro_1024k_L24,pro,1024k,24,1024,262127,8,cs8,8,5,False,False,True,True,
pro_1024k_L26,pro,1024k,26,1024,262127,8,cs8,18,17,False,False,True,True,
pro_1024k_L28,pro,1024k,28,1024,262127,8,cs8,10,1,False,False,True,True,
pro_1024k_L30,pro,1024k,30,1024,262127,8,cs8,20,9,False,False,True,True,
pro_1024k_L32,pro,1024k,32,1024,262127,8,cs8,11,8,False,False,True,True,
pro_1024k_L34,pro,1024k,34,1024,262127,8,cs8,13,7,False,False,True,True,
pro_1024k_L36,pro,1024k,36,1024,262127,8,cs8,22,7,False,False,True,True,
pro_1024k_L38,pro,1024k,38,1024,262127,8,cs8,13,4,False,False,True,True,
pro_1024k_L40,pro,1024k,40,1024,262127,8,cs8,14,6,False,False,True,True,
pro_1024k_L42,pro,1024k,42,1024,262127,8,cs8,14,2,False,False,True,True,
pro_1024k_L44,pro,1024k,44,1024,262127,8,cs8,23,1,False,False,True,True,
pro_1024k_L46,pro,1024k,46,1024,262127,8,cs8,7,3,False,False,True,True,
pro_1024k_L48,pro,1024k,48,1024,262127,8,cs8,25,6,False,False,True,True,
pro_1024k_L50,pro,1024k,50,1024,262127,8,cs8,21,10,False,False,True,True,
pro_1024k_L52,pro,1024k,52,1024,262127,8,cs8,33,23,False,False,False,True,
pro_1024k_L54,pro,1024k,54,1024,262127,8,cs8,21,15,False,False,True,True,
pro_1024k_L56,pro,1024k,56,1024,262127,8,cs8,21,20,False,False,True,True,
pro_1024k_L58,pro,1024k,58,1024,262127,8,cs8,13,5,False,False,True,True,
pro_1024k_L60,pro,1024k,60,1024,262127,8,cs8,42,33,False,False,False,True,
v32_4k_L03,v32,4k,3,2048,4111,1,cs1-small,48,40,False,False,False,True,
v32_4k_L04,v32,4k,4,2048,4111,1,cs1-small,0,40,False,True,True,True,
v32_4k_L05,v32,4k,5,2048,4111,1,cs1-small,37,25,False,False,False,True,
v32_4k_L06,v32,4k,6,2048,4111,1,cs1-small,0,9,False,True,True,True,
v32_4k_L07,v32,4k,7,2048,4111,1,cs1-small,44,33,False,False,False,True,
v32_4k_L08,v32,4k,8,2048,4111,1,cs1-small,55,24,False,False,False,True,
v32_4k_L09,v32,4k,9,2048,4111,1,cs1-small,52,28,False,False,False,True,
v32_4k_L10,v32,4k,10,2048,4111,1,cs1-small,51,37,False,False,False,True,
v32_4k_L11,v32,4k,11,2048,4111,1,cs1-small,60,10,False,False,False,True,
v32_4k_L12,v32,4k,12,2048,4111,1,cs1-small,33,18,False,False,False,True,
v32_4k_L13,v32,4k,13,2048,4111,1,cs1-small,40,9,False,False,False,True,
v32_4k_L14,v32,4k,14,2048,4111,1,cs1-small,53,53,False,True,False,True,
v32_4k_L15,v32,4k,15,2048,4111,1,cs1-small,65,15,False,False,False,True,
v32_4k_L16,v32,4k,16,2048,4111,1,cs1-small,39,24,False,False,False,True,
v32_4k_L17,v32,4k,17,2048,4111,1,cs1-small,38,24,False,False,False,True,
v32_4k_L18,v32,4k,18,2048,4111,1,cs1-small,55,15,False,False,False,True,
v32_4k_L19,v32,4k,19,2048,4111,1,cs1-small,0,27,False,True,True,True,
v32_4k_L20,v32,4k,20,2048,4111,1,cs1-small,52,9,False,False,False,True,
v32_4k_L21,v32,4k,21,2048,4111,1,cs1-small,0,18,False,True,True,True,
v32_4k_L22,v32,4k,22,2048,4111,1,cs1-small,0,34,False,True,True,True,
v32_4k_L23,v32,4k,23,2048,4111,1,cs1-small,30,9,False,False,True,True,
v32_4k_L24,v32,4k,24,2048,4111,1,cs1-small,25,17,False,False,True,True,
v32_4k_L25,v32,4k,25,2048,4111,1,cs1-small,43,2,False,False,False,True,
v32_4k_L26,v32,4k,26,2048,4111,1,cs1-small,49,16,False,False,False,True,
v32_4k_L27,v32,4k,27,2048,4111,1,cs1-small,33,29,False,False,False,True,
v32_4k_L28,v32,4k,28,2048,4111,1,cs1-small,67,35,False,False,False,True,
v32_4k_L29,v32,4k,29,2048,4111,1,cs1-small,48,20,False,False,False,True,
v32_4k_L30,v32,4k,30,2048,4111,1,cs1-small,71,59,False,False,False,True,
v32_4k_L31,v32,4k,31,2048,4111,1,cs1-small,52,24,False,False,False,True,
v32_4k_L32,v32,4k,32,2048,4111,1,cs1-small,52,46,False,False,False,True,
v32_4k_L33,v32,4k,33,2048,4111,1,cs1-small,17,14,False,False,True,True,
v32_4k_L34,v32,4k,34,2048,4111,1,cs1-small,42,40,False,False,False,True,
v32_4k_L35,v32,4k,35,2048,4111,1,cs1-small,42,41,False,False,False,True,
v32_4k_L36,v32,4k,36,2048,4111,1,cs1-small,43,35,False,False,False,True,
v32_4k_L37,v32,4k,37,2048,4111,1,cs1-small,68,21,False,False,False,True,
v32_4k_L38,v32,4k,38,2048,4111,1,cs1-small,0,22,False,True,True,True,
v32_4k_L39,v32,4k,39,2048,4111,1,cs1-small,56,39,False,False,False,True,
v32_4k_L40,v32,4k,40,2048,4111,1,cs1-small,60,27,False,False,False,True,
v32_4k_L41,v32,4k,41,2048,4111,1,cs1-small,54,35,False,False,False,True,
v32_4k_L42,v32,4k,42,2048,4111,1,cs1-small,51,7,False,False,False,True,
v32_4k_L43,v32,4k,43,2048,4111,1,cs1-small,0,62,False,True,True,True,
v32_4k_L44,v32,4k,44,2048,4111,1,cs1-small,40,17,False,False,False,True,
v32_4k_L45,v32,4k,45,2048,4111,1,cs1-small,34,27,False,False,False,True,
v32_4k_L46,v32,4k,46,2048,4111,1,cs1-small,63,38,False,False,False,True,
v32_4k_L47,v32,4k,47,2048,4111,1,cs1-small,49,12,False,False,False,True,
v32_4k_L48,v32,4k,48,2048,4111,1,cs1-small,40,22,False,False,False,True,
v32_4k_L49,v32,4k,49,2048,4111,1,cs1-small,0,11,False,True,True,True,
v32_4k_L50,v32,4k,50,2048,4111,1,cs1-small,0,23,False,True,True,True,
v32_4k_L51,v32,4k,51,2048,4111,1,cs1-small,52,18,False,False,False,True,
v32_4k_L52,v32,4k,52,2048,4111,1,cs1-small,0,14,False,True,True,True,
v32_4k_L53,v32,4k,53,2048,4111,1,cs1-small,43,36,False,False,False,True,
v32_4k_L54,v32,4k,54,2048,4111,1,cs1-small,0,42,False,True,True,True,
v32_4k_L55,v32,4k,55,2048,4111,1,cs1-small,39,15,False,False,False,True,
v32_4k_L56,v32,4k,56,2048,4111,1,cs1-small,0,15,False,True,True,True,
v32_4k_L57,v32,4k,57,2048,4111,1,cs1-small,64,7,False,False,False,True,
v32_4k_L58,v32,4k,58,2048,4111,1,cs1-small,68,28,False,False,False,True,
v32_4k_L59,v32,4k,59,2048,4111,1,cs1-small,0,33,False,True,True,True,
v32_4k_L60,v32,4k,60,2048,4111,1,cs1-small,0,44,False,True,True,True,
v32_8k_L03,v32,8k,3,2048,8207,1,cs1-small,36,12,False,False,False,True,
v32_8k_L04,v32,8k,4,2048,8207,1,cs1-small,59,4,False,False,False,True,
v32_8k_L05,v32,8k,5,2048,8207,1,cs1-small,42,32,False,False,False,True,
v32_8k_L06,v32,8k,6,2048,8207,1,cs1-small,29,9,False,False,True,True,
v32_8k_L07,v32,8k,7,2048,8207,1,cs1-small,57,21,False,False,False,True,
v32_8k_L08,v32,8k,8,2048,8207,1,cs1-small,53,31,False,False,False,True,
v32_8k_L09,v32,8k,9,2048,8207,1,cs1-small,31,11,False,False,True,True,
v32_8k_L10,v32,8k,10,2048,8207,1,cs1-small,40,4,False,False,False,True,
v32_8k_L11,v32,8k,11,2048,8207,1,cs1-small,59,15,False,False,False,True,
v32_8k_L12,v32,8k,12,2048,8207,1,cs1-small,43,23,False,False,False,True,
v32_8k_L13,v32,8k,13,2048,8207,1,cs1-small,34,9,False,False,False,True,
v32_8k_L14,v32,8k,14,2048,8207,1,cs1-small,41,16,False,False,False,True,
v32_8k_L15,v32,8k,15,2048,8207,1,cs1-small,44,38,False,False,False,True,
v32_8k_L16,v32,8k,16,2048,8207,1,cs1-small,45,26,False,False,False,True,
v32_8k_L17,v32,8k,17,2048,8207,1,cs1-small,65,26,False,False,False,True,
v32_8k_L18,v32,8k,18,2048,8207,1,cs1-small,48,2,False,False,False,True,
v32_8k_L19,v32,8k,19,2048,8207,1,cs1-small,53,11,False,False,False,True,
v32_8k_L20,v32,8k,20,2048,8207,1,cs1-small,43,39,False,False,False,True,
v32_8k_L21,v32,8k,21,2048,8207,1,cs1-small,46,17,False,False,False,True,
v32_8k_L22,v32,8k,22,2048,8207,1,cs1-small,49,35,False,False,False,True,
v32_8k_L23,v32,8k,23,2048,8207,1,cs1-small,36,19,False,False,False,True,
v32_8k_L24,v32,8k,24,2048,8207,1,cs1-small,31,17,False,False,True,True,
v32_8k_L25,v32,8k,25,2048,8207,1,cs1-small,34,17,False,False,False,True,
v32_8k_L26,v32,8k,26,2048,8207,1,cs1-small,41,9,False,False,False,True,
v32_8k_L27,v32,8k,27,2048,8207,1,cs1-small,39,1,False,False,False,True,
v32_8k_L28,v32,8k,28,2048,8207,1,cs1-small,46,32,False,False,False,True,
v32_8k_L29,v32,8k,29,2048,8207,1,cs1-small,30,13,False,False,True,True,
v32_8k_L30,v32,8k,30,2048,8207,1,cs1-small,29,13,False,False,True,True,
v32_8k_L31,v32,8k,31,2048,8207,1,cs1-small,50,3,False,False,False,True,
v32_8k_L32,v32,8k,32,2048,8207,1,cs1-small,44,2,False,False,False,True,
v32_8k_L33,v32,8k,33,2048,8207,1,cs1-small,46,1,False,False,False,True,
v32_8k_L34,v32,8k,34,2048,8207,1,cs1-small,41,34,False,False,False,True,
v32_8k_L35,v32,8k,35,2048,8207,1,cs1-small,34,31,False,False,False,True,
v32_8k_L36,v32,8k,36,2048,8207,1,cs1-small,38,20,False,False,False,True,
v32_8k_L37,v32,8k,37,2048,8207,1,cs1-small,44,21,False,False,False,True,
v32_8k_L38,v32,8k,38,2048,8207,1,cs1-small,35,12,False,False,False,True,
v32_8k_L39,v32,8k,39,2048,8207,1,cs1-small,50,26,False,False,False,True,
v32_8k_L40,v32,8k,40,2048,8207,1,cs1-small,48,18,False,False,False,True,
v32_8k_L41,v32,8k,41,2048,8207,1,cs1-small,55,52,False,False,False,True,
v32_8k_L42,v32,8k,42,2048,8207,1,cs1-small,58,14,False,False,False,True,
v32_8k_L43,v32,8k,43,2048,8207,1,cs1-small,47,35,False,False,False,True,
v32_8k_L44,v32,8k,44,2048,8207,1,cs1-small,48,13,False,False,False,True,
v32_8k_L45,v32,8k,45,2048,8207,1,cs1-small,37,17,False,False,False,True,
v32_8k_L46,v32,8k,46,2048,8207,1,cs1-small,42,28,False,False,False,True,
v32_8k_L47,v32,8k,47,2048,8207,1,cs1-small,40,7,False,False,False,True,
v32_8k_L48,v32,8k,48,2048,8207,1,cs1-small,38,28,False,False,False,True,
v32_8k_L49,v32,8k,49,2048,8207,1,cs1-small,44,5,False,False,False,True,
v32_8k_L50,v32,8k,50,2048,8207,1,cs1-small,31,20,False,False,True,True,
v32_8k_L51,v32,8k,51,2048,8207,1,cs1-small,43,1,False,False,False,True,
v32_8k_L52,v32,8k,52,2048,8207,1,cs1-small,45,19,False,False,False,True,
v32_8k_L53,v32,8k,53,2048,8207,1,cs1-small,48,1,False,False,False,True,
v32_8k_L54,v32,8k,54,2048,8207,1,cs1-small,47,15,False,False,False,True,
v32_8k_L55,v32,8k,55,2048,8207,1,cs1-small,51,39,False,False,False,True,
v32_8k_L56,v32,8k,56,2048,8207,1,cs1-small,35,25,False,False,False,True,
v32_8k_L57,v32,8k,57,2048,8207,1,cs1-small,47,20,False,False,False,True,
v32_8k_L58,v32,8k,58,2048,8207,1,cs1-small,52,44,False,False,False,True,
v32_8k_L59,v32,8k,59,2048,8207,1,cs1-small,38,21,False,False,False,True,
v32_8k_L60,v32,8k,60,2048,8207,1,cs1-small,36,16,False,False,False,True,
v32_16k_L03,v32,16k,3,2048,16399,1,cs1-mid,40,30,False,False,False,True,
v32_16k_L04,v32,16k,4,2048,16399,1,cs1-mid,54,36,False,False,False,True,
v32_16k_L05,v32,16k,5,2048,16399,1,cs1-mid,37,25,False,False,False,True,
v32_16k_L06,v32,16k,6,2048,16399,1,cs1-mid,45,3,False,False,False,True,
v32_16k_L07,v32,16k,7,2048,16399,1,cs1-mid,44,13,False,False,False,True,
v32_16k_L08,v32,16k,8,2048,16399,1,cs1-mid,60,59,False,False,False,True,
v32_16k_L09,v32,16k,9,2048,16399,1,cs1-mid,64,62,False,False,False,True,
v32_16k_L10,v32,16k,10,2048,16399,1,cs1-mid,55,49,False,False,False,True,
v32_16k_L11,v32,16k,11,2048,16399,1,cs1-mid,63,27,False,False,False,True,
v32_16k_L12,v32,16k,12,2048,16399,1,cs1-mid,53,17,False,False,False,True,
v32_16k_L13,v32,16k,13,2048,16399,1,cs1-mid,46,1,False,False,False,True,
v32_16k_L14,v32,16k,14,2048,16399,1,cs1-mid,38,31,False,False,False,True,
v32_16k_L15,v32,16k,15,2048,16399,1,cs1-mid,44,26,False,False,False,True,
v32_16k_L16,v32,16k,16,2048,16399,1,cs1-mid,48,47,False,False,False,True,
v32_16k_L17,v32,16k,17,2048,16399,1,cs1-mid,60,5,False,False,False,True,
v32_16k_L18,v32,16k,18,2048,16399,1,cs1-mid,54,23,False,False,False,True,
v32_16k_L19,v32,16k,19,2048,16399,1,cs1-mid,50,18,False,False,False,True,
v32_16k_L20,v32,16k,20,2048,16399,1,cs1-mid,72,51,False,False,False,True,
v32_16k_L21,v32,16k,21,2048,16399,1,cs1-mid,71,19,False,False,False,True,
v32_16k_L22,v32,16k,22,2048,16399,1,cs1-mid,44,27,False,False,False,True,
v32_16k_L23,v32,16k,23,2048,16399,1,cs1-mid,47,8,False,False,False,True,
v32_16k_L24,v32,16k,24,2048,16399,1,cs1-mid,46,7,False,False,False,True,
v32_16k_L25,v32,16k,25,2048,16399,1,cs1-mid,45,37,False,False,False,True,
v32_16k_L26,v32,16k,26,2048,16399,1,cs1-mid,46,12,False,False,False,True,
v32_16k_L27,v32,16k,27,2048,16399,1,cs1-mid,56,2,False,False,False,True,
v32_16k_L28,v32,16k,28,2048,16399,1,cs1-mid,31,14,False,False,True,True,
v32_16k_L29,v32,16k,29,2048,16399,1,cs1-mid,49,10,False,False,False,True,
v32_16k_L30,v32,16k,30,2048,16399,1,cs1-mid,32,12,False,False,True,True,
v32_16k_L31,v32,16k,31,2048,16399,1,cs1-mid,42,17,False,False,False,True,
v32_16k_L32,v32,16k,32,2048,16399,1,cs1-mid,65,48,False,False,False,True,
v32_16k_L33,v32,16k,33,2048,16399,1,cs1-mid,63,42,False,False,False,True,
v32_16k_L34,v32,16k,34,2048,16399,1,cs1-mid,65,35,False,False,False,True,
v32_16k_L35,v32,16k,35,2048,16399,1,cs1-mid,61,47,False,False,False,True,
v32_16k_L36,v32,16k,36,2048,16399,1,cs1-mid,50,45,False,False,False,True,
v32_16k_L37,v32,16k,37,2048,16399,1,cs1-mid,42,5,False,False,False,True,
v32_16k_L38,v32,16k,38,2048,16399,1,cs1-mid,51,36,False,False,False,True,
v32_16k_L39,v32,16k,39,2048,16399,1,cs1-mid,60,41,False,False,False,True,
v32_16k_L40,v32,16k,40,2048,16399,1,cs1-mid,42,35,False,False,False,True,
v32_16k_L41,v32,16k,41,2048,16399,1,cs1-mid,44,30,False,False,False,True,
v32_16k_L42,v32,16k,42,2048,16399,1,cs1-mid,56,22,False,False,False,True,
v32_16k_L43,v32,16k,43,2048,16399,1,cs1-mid,65,24,False,False,False,True,
v32_16k_L44,v32,16k,44,2048,16399,1,cs1-mid,39,30,False,False,False,True,
v32_16k_L45,v32,16k,45,2048,16399,1,cs1-mid,56,53,False,False,False,True,
v32_16k_L46,v32,16k,46,2048,16399,1,cs1-mid,80,65,False,False,False,True,
v32_16k_L47,v32,16k,47,2048,16399,1,cs1-mid,41,36,False,False,False,True,
v32_16k_L48,v32,16k,48,2048,16399,1,cs1-mid,55,49,False,False,False,True,
v32_16k_L49,v32,16k,49,2048,16399,1,cs1-mid,70,64,False,False,False,True,
v32_16k_L50,v32,16k,50,2048,16399,1,cs1-mid,71,61,False,False,False,True,
v32_16k_L51,v32,16k,51,2048,16399,1,cs1-mid,58,19,False,False,False,True,
v32_16k_L52,v32,16k,52,2048,16399,1,cs1-mid,50,37,False,False,False,True,
v32_16k_L53,v32,16k,53,2048,16399,1,cs1-mid,65,12,False,False,False,True,
v32_16k_L54,v32,16k,54,2048,16399,1,cs1-mid,60,51,False,False,False,True,
v32_16k_L55,v32,16k,55,2048,16399,1,cs1-mid,82,20,False,False,False,True,
v32_16k_L56,v32,16k,56,2048,16399,1,cs1-mid,62,23,False,False,False,True,
v32_16k_L57,v32,16k,57,2048,16399,1,cs1-mid,52,17,False,False,False,True,
v32_16k_L58,v32,16k,58,2048,16399,1,cs1-mid,74,37,False,False,False,True,
v32_16k_L59,v32,16k,59,2048,16399,1,cs1-mid,57,5,False,False,False,True,
v32_16k_L60,v32,16k,60,2048,16399,1,cs1-mid,55,38,False,False,False,True,
v32_32k_L03,v32,32k,3,2048,32783,1,cs1-mid,56,8,False,False,False,True,
v32_32k_L04,v32,32k,4,2048,32783,1,cs1-mid,71,1,False,False,False,True,
v32_32k_L05,v32,32k,5,2048,32783,1,cs1-mid,59,28,False,False,False,True,
v32_32k_L06,v32,32k,6,2048,32783,1,cs1-mid,39,31,False,False,False,True,
